Region,Year,Category,Value,Criteria
Europe,2020,Total,84.9,"Percentage of individuals using the Internet, by gender"
World,2020,Total,77.7,"Percentage of individuals using the Internet, by gender"
Low-income,2020,Total,53.0,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2020,Total,69.1,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2020,Total,82.4,"Percentage of individuals using the Internet, by gender"
High-income,2020,Total,95.4,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2020,Total,59.6,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2020,Total,61.5,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2020,Total,73.8,"Percentage of individuals using the Internet, by gender"
Africa,2020,Total,63.0,"Percentage of individuals using the Internet, by gender"
Americas,2020,Total,87.5,"Percentage of individuals using the Internet, by gender"
Arab States,2020,Total,82.7,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2020,Total,74.6,"Percentage of individuals using the Internet, by gender"
CIS,2020,Total,93.1,"Percentage of individuals using the Internet, by gender"
Europe,2020,Total,94.0,"Percentage of individuals using the Internet, by gender"
World,2021,Total,61.7,"Percentage of individuals using the Internet, by gender"
Low-income,2021,Total,20.9,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2021,Total,46.6,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2021,Total,74.1,"Percentage of individuals using the Internet, by gender"
High-income,2021,Total,90.0,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2021,Total,28.3,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2021,Total,32.9,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2021,Total,62.1,"Percentage of individuals using the Internet, by gender"
Africa,2021,Total,30.8,"Percentage of individuals using the Internet, by gender"
Americas,2021,Total,81.9,"Percentage of individuals using the Internet, by gender"
Arab States,2021,Total,64.7,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2021,Total,59.3,"Percentage of individuals using the Internet, by gender"
CIS,2021,Total,84.2,"Percentage of individuals using the Internet, by gender"
Europe,2021,Total,87.3,"Percentage of individuals using the Internet, by gender"
World,2021,Total,78.6,"Percentage of individuals using the Internet, by gender"
Low-income,2021,Total,54.2,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2021,Total,70.5,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2021,Total,83.2,"Percentage of individuals using the Internet, by gender"
High-income,2021,Total,95.7,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2021,Total,60.9,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2021,Total,62.7,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2021,Total,74.0,"Percentage of individuals using the Internet, by gender"
Africa,2021,Total,64.5,"Percentage of individuals using the Internet, by gender"
Americas,2021,Total,88.2,"Percentage of individuals using the Internet, by gender"
Arab States,2021,Total,82.8,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2021,Total,75.6,"Percentage of individuals using the Internet, by gender"
CIS,2021,Total,93.6,"Percentage of individuals using the Internet, by gender"
Europe,2021,Total,94.7,"Percentage of individuals using the Internet, by gender"
World,2022,Total,63.7,"Percentage of individuals using the Internet, by gender"
Low-income,2022,Total,23.1,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2022,Total,48.8,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2022,Total,76.5,"Percentage of individuals using the Internet, by gender"
High-income,2022,Total,91.1,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2022,Total,30.6,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2022,Total,35.5,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2022,Total,62.4,"Percentage of individuals using the Internet, by gender"
Africa,2022,Total,32.9,"Percentage of individuals using the Internet, by gender"
Americas,2022,Total,82.9,"Percentage of individuals using the Internet, by gender"
Arab States,2022,Total,67.4,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2022,Total,61.6,"Percentage of individuals using the Internet, by gender"
CIS,2022,Total,87.0,"Percentage of individuals using the Internet, by gender"
Europe,2022,Total,88.6,"Percentage of individuals using the Internet, by gender"
World,2022,Total,79.7,"Percentage of individuals using the Internet, by gender"
Low-income,2022,Total,56.2,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2022,Total,72.0,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2022,Total,84.2,"Percentage of individuals using the Internet, by gender"
High-income,2022,Total,96.1,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2022,Total,62.8,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2022,Total,64.6,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2022,Total,75.0,"Percentage of individuals using the Internet, by gender"
Africa,2022,Total,66.2,"Percentage of individuals using the Internet, by gender"
Americas,2022,Total,88.8,"Percentage of individuals using the Internet, by gender"
Arab States,2022,Total,83.1,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2022,Total,76.9,"Percentage of individuals using the Internet, by gender"
CIS,2022,Total,94.4,"Percentage of individuals using the Internet, by gender"
Europe,2022,Total,95.3,"Percentage of individuals using the Internet, by gender"
World,2023,Total,65.4,"Percentage of individuals using the Internet, by gender"
Low-income,2023,Total,24.4,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2023,Total,50.9,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2023,Total,78.5,"Percentage of individuals using the Internet, by gender"
High-income,2023,Total,92.3,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2023,Total,32.5,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2023,Total,37.0,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2023,Total,63.2,"Percentage of individuals using the Internet, by gender"
Africa,2023,Total,35.0,"Percentage of individuals using the Internet, by gender"
Americas,2023,Total,84.7,"Percentage of individuals using the Internet, by gender"
Arab States,2023,Total,68.6,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2023,Total,63.4,"Percentage of individuals using the Internet, by gender"
CIS,2023,Total,89.4,"Percentage of individuals using the Internet, by gender"
Europe,2023,Total,89.9,"Percentage of individuals using the Internet, by gender"
World,2024,Total,67.6,"Percentage of individuals using the Internet, by gender"
Low-income,2024,Total,26.5,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2024,Total,54.0,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2024,Total,80.7,"Percentage of individuals using the Internet, by gender"
High-income,2024,Total,93.4,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2024,Total,35.0,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2024,Total,39.4,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2024,Total,64.8,"Percentage of individuals using the Internet, by gender"
Africa,2024,Total,37.5,"Percentage of individuals using the Internet, by gender"
Americas,2024,Total,86.5,"Percentage of individuals using the Internet, by gender"
Arab States,2024,Total,69.6,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2024,Total,66.1,"Percentage of individuals using the Internet, by gender"
CIS,2024,Total,91.5,"Percentage of individuals using the Internet, by gender"
Europe,2024,Total,91.2,"Percentage of individuals using the Internet, by gender"
World,2024,Total,72.8,"Percentage of individuals using the Internet, by gender"
Low-income,2024,Total,40.6,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2024,Total,60.9,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2024,Total,79.6,"Percentage of individuals using the Internet, by gender"
High-income,2024,Total,94.8,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2024,Total,48.3,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2024,Total,50.8,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2024,Total,70.2,"Percentage of individuals using the Internet, by gender"
Africa,2024,Total,53.5,"Percentage of individuals using the Internet, by gender"
Americas,2024,Total,86.7,"Percentage of individuals using the Internet, by gender"
Arab States,2024,Total,77.8,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2024,Total,68.7,"Percentage of individuals using the Internet, by gender"
CIS,2024,Total,90.6,"Percentage of individuals using the Internet, by gender"
Europe,2024,Total,92.7,"Percentage of individuals using the Internet, by gender"
World,2019,Female,50.4,"Percentage of individuals using the Internet, by gender"
Low-income,2019,Female,13.6,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2019,Female,29.6,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2019,Female,62.9,"Percentage of individuals using the Internet, by gender"
High-income,2019,Female,86.4,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2019,Female,18.6,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2019,Female,24.8,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2019,Female,56.6,"Percentage of individuals using the Internet, by gender"
Africa,2019,Female,20.5,"Percentage of individuals using the Internet, by gender"
Americas,2019,Female,75.5,"Percentage of individuals using the Internet, by gender"
Arab States,2019,Female,51.0,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2019,Female,45.6,"Percentage of individuals using the Internet, by gender"
CIS,2019,Female,75.6,"Percentage of individuals using the Internet, by gender"
Europe,2019,Female,79.5,"Percentage of individuals using the Internet, by gender"
World,2019,Female,75.5,"Percentage of individuals using the Internet, by gender"
Low-income,2019,Female,45.1,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2019,Female,64.4,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2019,Female,82.7,"Percentage of individuals using the Internet, by gender"
High-income,2019,Female,95.7,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2019,Female,52.8,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2019,Female,55.8,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2019,Female,72.8,"Percentage of individuals using the Internet, by gender"
Africa,2019,Female,57.3,"Percentage of individuals using the Internet, by gender"
Americas,2019,Female,88.4,"Percentage of individuals using the Internet, by gender"
Arab States,2019,Female,78.4,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2019,Female,72.1,"Percentage of individuals using the Internet, by gender"
CIS,2019,Female,93.1,"Percentage of individuals using the Internet, by gender"
Europe,2019,Female,94.3,"Percentage of individuals using the Internet, by gender"
World,2020,Female,55.9,"Percentage of individuals using the Internet, by gender"
Low-income,2020,Female,14.2,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2020,Female,37.2,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2020,Female,69.7,"Percentage of individuals using the Internet, by gender"
High-income,2020,Female,88.1,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2020,Female,20.7,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2020,Female,26.9,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2020,Female,59.6,"Percentage of individuals using the Internet, by gender"
Africa,2020,Female,22.8,"Percentage of individuals using the Internet, by gender"
Americas,2020,Female,81.3,"Percentage of individuals using the Internet, by gender"
Arab States,2020,Female,57.3,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2020,Female,52.3,"Percentage of individuals using the Internet, by gender"
CIS,2020,Female,79.5,"Percentage of individuals using the Internet, by gender"
Europe,2020,Female,83.0,"Percentage of individuals using the Internet, by gender"
World,2020,Female,77.0,"Percentage of individuals using the Internet, by gender"
Low-income,2020,Female,47.2,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2020,Female,66.4,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2020,Female,84.3,"Percentage of individuals using the Internet, by gender"
High-income,2020,Female,96.1,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2020,Female,54.9,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2020,Female,58.1,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2020,Female,73.8,"Percentage of individuals using the Internet, by gender"
Africa,2020,Female,59.3,"Percentage of individuals using the Internet, by gender"
Americas,2020,Female,89.4,"Percentage of individuals using the Internet, by gender"
Arab States,2020,Female,78.6,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2020,Female,73.9,"Percentage of individuals using the Internet, by gender"
CIS,2020,Female,94.2,"Percentage of individuals using the Internet, by gender"
Europe,2020,Female,95.1,"Percentage of individuals using the Internet, by gender"
World,2021,Female,58.6,"Percentage of individuals using the Internet, by gender"
Low-income,2021,Female,16.0,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2021,Female,40.7,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2021,Female,72.8,"Percentage of individuals using the Internet, by gender"
High-income,2021,Female,89.6,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2021,Female,22.8,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2021,Female,28.9,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2021,Female,62.0,"Percentage of individuals using the Internet, by gender"
Africa,2021,Female,24.7,"Percentage of individuals using the Internet, by gender"
Americas,2021,Female,81.9,"Percentage of individuals using the Internet, by gender"
Arab States,2021,Female,59.8,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2021,Female,55.9,"Percentage of individuals using the Internet, by gender"
CIS,2021,Female,82.8,"Percentage of individuals using the Internet, by gender"
Europe,2021,Female,85.7,"Percentage of individuals using the Internet, by gender"
World,2022,Female,60.8,"Percentage of individuals using the Internet, by gender"
Low-income,2022,Female,17.9,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2022,Female,43.3,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2022,Female,75.5,"Percentage of individuals using the Internet, by gender"
High-income,2022,Female,90.6,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2022,Female,24.9,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2022,Female,31.5,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2022,Female,62.4,"Percentage of individuals using the Internet, by gender"
Africa,2022,Female,27.0,"Percentage of individuals using the Internet, by gender"
Americas,2022,Female,83.3,"Percentage of individuals using the Internet, by gender"
Arab States,2022,Female,61.8,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2022,Female,58.5,"Percentage of individuals using the Internet, by gender"
CIS,2022,Female,85.8,"Percentage of individuals using the Internet, by gender"
Europe,2022,Female,87.2,"Percentage of individuals using the Internet, by gender"
World,2022,Female,80.1,"Percentage of individuals using the Internet, by gender"
Low-income,2022,Female,60.4,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2022,Female,74.2,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2022,Female,84.6,"Percentage of individuals using the Internet, by gender"
High-income,2022,Female,94.9,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2022,Female,66.1,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2022,Female,66.9,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2022,Female,72.4,"Percentage of individuals using the Internet, by gender"
Africa,2022,Female,68.9,"Percentage of individuals using the Internet, by gender"
Americas,2022,Female,87.4,"Percentage of individuals using the Internet, by gender"
Arab States,2022,Female,86.0,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2022,Female,77.2,"Percentage of individuals using the Internet, by gender"
CIS,2022,Female,92.9,"Percentage of individuals using the Internet, by gender"
Europe,2022,Female,94.1,"Percentage of individuals using the Internet, by gender"
World,2023,Female,63.0,"Percentage of individuals using the Internet, by gender"
Low-income,2023,Female,19.2,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2023,Female,45.9,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2023,Female,78.5,"Percentage of individuals using the Internet, by gender"
High-income,2023,Female,91.9,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2023,Female,26.6,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2023,Female,33.2,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2023,Female,63.4,"Percentage of individuals using the Internet, by gender"
Africa,2023,Female,29.0,"Percentage of individuals using the Internet, by gender"
Americas,2023,Female,85.3,"Percentage of individuals using the Internet, by gender"
Arab States,2023,Female,63.0,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2023,Female,61.2,"Percentage of individuals using the Internet, by gender"
CIS,2023,Female,88.3,"Percentage of individuals using the Internet, by gender"
Europe,2023,Female,88.7,"Percentage of individuals using the Internet, by gender"
World,2023,Female,81.3,"Percentage of individuals using the Internet, by gender"
Low-income,2023,Female,63.0,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2023,Female,75.8,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2023,Female,85.6,"Percentage of individuals using the Internet, by gender"
High-income,2023,Female,95.2,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2023,Female,68.3,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2023,Female,69.0,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2023,Female,75.0,"Percentage of individuals using the Internet, by gender"
Africa,2023,Female,70.5,"Percentage of individuals using the Internet, by gender"
Americas,2023,Female,87.7,"Percentage of individuals using the Internet, by gender"
Arab States,2023,Female,86.7,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2023,Female,78.8,"Percentage of individuals using the Internet, by gender"
CIS,2023,Female,93.6,"Percentage of individuals using the Internet, by gender"
Europe,2023,Female,94.6,"Percentage of individuals using the Internet, by gender"
World,2024,Female,65.3,"Percentage of individuals using the Internet, by gender"
Low-income,2024,Female,20.9,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2024,Female,48.7,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2024,Female,81.5,"Percentage of individuals using the Internet, by gender"
High-income,2024,Female,93.2,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2024,Female,28.7,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2024,Female,35.5,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2024,Female,64.1,"Percentage of individuals using the Internet, by gender"
Africa,2024,Female,31.4,"Percentage of individuals using the Internet, by gender"
Americas,2024,Female,87.1,"Percentage of individuals using the Internet, by gender"
Arab States,2024,Female,64.4,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2024,Female,64.1,"Percentage of individuals using the Internet, by gender"
CIS,2024,Female,91.1,"Percentage of individuals using the Internet, by gender"
Europe,2024,Female,90.2,"Percentage of individuals using the Internet, by gender"
World,2024,Female,81.7,"Percentage of individuals using the Internet, by gender"
Low-income,2024,Female,63.8,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2024,Female,76.4,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2024,Female,85.7,"Percentage of individuals using the Internet, by gender"
High-income,2024,Female,95.5,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2024,Female,69.2,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2024,Female,69.9,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2024,Female,75.2,"Percentage of individuals using the Internet, by gender"
Africa,2024,Female,71.7,"Percentage of individuals using the Internet, by gender"
Americas,2024,Female,87.9,"Percentage of individuals using the Internet, by gender"
Arab States,2024,Female,86.8,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2024,Female,79.1,"Percentage of individuals using the Internet, by gender"
CIS,2024,Female,94.1,"Percentage of individuals using the Internet, by gender"
Europe,2024,Female,95.0,"Percentage of individuals using the Internet, by gender"
World,2019,Male,55.5,"Percentage of individuals using the Internet, by gender"
Low-income,2019,Male,20.9,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2019,Male,37.7,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2019,Male,66.2,"Percentage of individuals using the Internet, by gender"
High-income,2019,Male,88.7,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2019,Male,25.2,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2019,Male,30.3,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2019,Male,55.7,"Percentage of individuals using the Internet, by gender"
Africa,2019,Male,29.7,"Percentage of individuals using the Internet, by gender"
Americas,2019,Male,76.4,"Percentage of individuals using the Internet, by gender"
Arab States,2019,Male,59.0,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2019,Male,51.0,"Percentage of individuals using the Internet, by gender"
CIS,2019,Male,76.8,"Percentage of individuals using the Internet, by gender"
Europe,2019,Male,84.2,"Percentage of individuals using the Internet, by gender"
World,2020,Male,61.8,"Percentage of individuals using the Internet, by gender"
Low-income,2020,Male,22.2,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2020,Male,48.9,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2020,Male,70.8,"Percentage of individuals using the Internet, by gender"
High-income,2020,Male,91.2,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2020,Male,29.5,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2020,Male,34.5,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2020,Male,61.8,"Percentage of individuals using the Internet, by gender"
Africa,2020,Male,32.8,"Percentage of individuals using the Internet, by gender"
Americas,2020,Male,82.3,"Percentage of individuals using the Internet, by gender"
Arab States,2020,Male,63.5,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2020,Male,59.4,"Percentage of individuals using the Internet, by gender"
CIS,2020,Male,80.3,"Percentage of individuals using the Internet, by gender"
Europe,2020,Male,86.8,"Percentage of individuals using the Internet, by gender"
World,2021,Male,64.8,"Percentage of individuals using the Internet, by gender"
Low-income,2021,Male,25.8,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2021,Male,52.4,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2021,Male,75.3,"Percentage of individuals using the Internet, by gender"
High-income,2021,Male,90.5,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2021,Male,33.8,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2021,Male,37.0,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2021,Male,62.2,"Percentage of individuals using the Internet, by gender"
Africa,2021,Male,37.0,"Percentage of individuals using the Internet, by gender"
Americas,2021,Male,82.0,"Percentage of individuals using the Internet, by gender"
Arab States,2021,Male,69.3,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2021,Male,62.7,"Percentage of individuals using the Internet, by gender"
CIS,2021,Male,85.8,"Percentage of individuals using the Internet, by gender"
Europe,2021,Male,88.9,"Percentage of individuals using the Internet, by gender"
World,2022,Male,66.5,"Percentage of individuals using the Internet, by gender"
Low-income,2022,Male,28.3,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2022,Male,56.5,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2022,Male,79.1,"Percentage of individuals using the Internet, by gender"
High-income,2022,Male,91.8,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2022,Male,36.3,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2022,Male,39.5,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2022,Male,62.3,"Percentage of individuals using the Internet, by gender"
Africa,2022,Male,39.0,"Percentage of individuals using the Internet, by gender"
Americas,2022,Male,82.6,"Percentage of individuals using the Internet, by gender"
Arab States,2022,Male,72.6,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2022,Male,64.6,"Percentage of individuals using the Internet, by gender"
CIS,2022,Male,88.4,"Percentage of individuals using the Internet, by gender"
Europe,2022,Male,90.0,"Percentage of individuals using the Internet, by gender"
World,2023,Male,67.7,"Percentage of individuals using the Internet, by gender"
Low-income,2023,Male,29.7,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2023,Male,58.1,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2023,Male,79.9,"Percentage of individuals using the Internet, by gender"
High-income,2023,Male,92.8,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2023,Male,38.3,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2023,Male,40.9,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2023,Male,62.9,"Percentage of individuals using the Internet, by gender"
